Pos,Pts,Team name,Best,2nd best,3rd best,Provenance
1,2988,Ninjax,1 (1050) Movember,1 (1000) Mars Attaque,2 (938) Coup de Foudre,"Trois-Rivières,Montréal,Saguenay"
2,2822,P'tits Ménés,1 (1000) Bye Bye,2 (938) Mars Attaque,3 (884) Coup de Foudre,"Gatineau,Sherbrooke,Montréal,Québec"
3,2719,Turbo Fluo,1 (1000) Coup de Foudre,3 (884) Bye Bye,4 (835) Mars Attaque,"La Province,Sherbrooke,Montréal,Québec"
4,2461,Legends,4 (835) Coup de Foudre,4 (835) Movember,5 (791) Bye Bye,Québec
5,2438,Padawan,2 (938) Movember,6 (750) Mars Attaque,6 (750) Bye Bye,"Trois-Rivières,Sherbrooke,Montréal"
6,2417,Les Outs,4 (835) Bye Bye,5 (791) Mars Attaque,5 (791) Movember,Québec
7,2306,Bergers,3 (884) Movember,7 (711) Bye Bye,7 (711) Mars Attaque,"Gatineau,Sherbrooke,Montréal,Québec"
8,2275,Chainsaw,3 (884) Mars Attaque,6 (750) Coup de Foudre,9 (641) Bye Bye,"Trois-Rivières,Ottawa,Québec"
9,2157,Trillium Carnage,2 (938) Bye Bye,9 (641) Movember,11 (578) Mars Attaque,"Ontario,Ottawa"
10,1978,Rookies,5 (791) Coup de Foudre,10 (609) Mars Attaque,11 (578) Movember,Québec
11,1959,Sugar Mammies,8 (675) Bye Bye,8 (675) Movember,10 (609) Coup de Foudre,Montréal
12,1819,Commando,7 (711) Movember,4 (614) La Flotte,14 (494) Coup de Foudre,Sherbrooke
13,1802,Caribou,8 (675) Mars Attaque,11 (578) Coup de Foudre,12 (549) Movember,Sherbrooke
14,1795,KGB,3 (668) La Flotte,11 (578) Bye Bye,12 (549) Mars Attaque,Québec
15,1778,Mess around,8 (675) Coup de Foudre,10 (609) Movember,14 (494) Mars Attaque,Montréal
16,1547,International,10 (609) Bye Bye,15 (469) Mars Attaque,15 (469) Movember,"Trois-Rivières,Sherbrooke,Montréal"
17,1437,Sweet Dreams,6 (522) La Flotte,17 (471) Bye Bye,16 (444) Movember,Trois-Rivières
18,1435,Tux,5 (566) La Flotte,15 (469) Coup de Foudre,1 (400) Oktober Disk,"Trois-Rivières,Québec"
19,1424,Captain Morgan,13 (521) Coup de Foudre,9 (459) La Flotte,16 (444) Bye Bye,"Trois-Rivières,Rimouski,Montréal,Québec"
