1,"Ninjax","Montréal","esprit sportif"
2,"Padawan","Montréal,Sherbrooke,Trois-Rivières",
3,"Bergers","Sherbrooke,Québec,Montréal,Gatineau",
4,"Legends","Québec",
5,"Les Outs","Québec",
6,"P'tits Ménés","Gatineau,Sherbrooke,Montréal,Québec",
7,"Commando","Sherbrooke",
8,"Sugar Mammies","Montréal",
9,"Trillium Carnage","Ottawa",
10,"Mess around","Montréal",
11,"Rookies","Québec",
12,"Caribou","Sherbrooke",
14,"Chainsaw","Québec,Trois-Rivières",
14,"KGB","Québec",
15,"International","Montréal,Sherbrooke,Trois-Rivières",
16,"Sweet Dreams","Trois-Rivières",
17,"Diskover","Trois-Rivières",
18,"Rejected","Montréal",
19,"Dynamite","Ottawa,Gatineau",
20,"Chiefs","Montréal,Ste-Adèle",
21,"Sales-Add","Québec",
22,"Sunrise","Québec",
23,"Tux","Québec",
24,"Wasabi","Montréal",
25,"8-piece Luggage Set","Hull,Ottawa",
26,"Poupix","Montréal",
27,"Absolute","Sherbrooke,Montréal","esprit sportif"
28,"Ons'Kasse","Montréal,Sherbrooke",
29,"Captain Morgan","Montréal,Québec,Trois-Rivières,Rimouski",
30,"Squeezy Lemons","St-Jean-sur-Richelieu",
31,"Mon équipe","Sherbrooke",
32,"Marcel Leboeuf","Montréal",
33,"Robot Rock","Montréal",
34,"FantasDisc 4","Sherbrooke,Québec",
35,"Morues","Gaspé",
36,"Ani's chicks","Montréal",
37,"Ta mère","Saguenay,Québec","esprit sportif"
38,"Kraken","Sherbrooke",
39,"Piranhas","Sherbrooke",
40,"Citrons pressés","St-Jean-sur-Richelieu",
41,"Oktopus","Sherbrooke",
42,"Team You-Hou","St-Jean-sur-Richelieu",
43,"Grues d’acajou","Saguenay",
44,"DisTrakFUL","Repentigny",
45,"AuRéoLeS","Montréal",
46,"Va-Comme-J’te-Pousse","Québec",
47,"Wannabus","Montréal",
48,"Bretzels","Montréal",

