1,"Trillium Carnage","Ottawa",
2,"Mess Nationale","Montréal",
3,"Family Feud","Ottawa",
4,"G's Pot","Guelph",
5,"Watch the Thrown","Ottawa",
6,"Dynamite","Ottawa",
7,"8-piece Luggage Set","Ottawa",
8,"Rejected","Montréal",
9,"Squeezy Lemons","St-Jean-sur-Richelieu",
10,"Ons'Kasse","Montréal",
11,"Poupix","Montréal",
12,"Delta Force","Sherbrooke",
13,"AuRéoLeS","Montréal",
14,"Trick or Treat","Québec","esprit sportif"
15,"Connect 4","Montréal",
16,"El Toro","Trois-Rivières",
17,"Kraken","Sherbrooke",
18,"Pas-te Toast","Ottawa",
19,"Ani's chicks","Montréal",
20,"Disklock","Trois-Rivières",
21,"MoFOS","Ottawa",
22,"Fence Post","Ottawa",
23,"Schweddy Discs","Ottawa",
24,"Tête dans l'cul","Montréal",
25,"BUS","Ottawa",
26,"Bucks","Buckingham",
27,"Sockeyed","Ottawa",
28,"Wernesgruner","Sherbrooke,Saguenay-Lac-St-Jean",
29,"Cyclones","Gatineau",
