1,"Turbo Fluo",
2,"Ninjax",
3,"P'tits Ménés",
4,"Legends",
5,"Rookies",
6,"Chainsaw",
7,"Padawan",
8,"Mess around",
9,"Bergers",,"esprit sportif"
10,"Sugar Mammies",
11,"Caribou",
12,"Dynamite",
13,"Captain Morgan",
14,"Commando",
15,"Tux",
16,"Wasabi",
17,"8-piece Luggage Set",
18,"Chiefs",
19,"Kraken",
20,"KGB",
21,"Voodoo",
22,"Sales-Add",
23,"Trick or Treat",
24,"Sweet Dreams",
25,"Sunrise",
26,"Poupix",
27,"Marcel Leboeuf",
28,"Connect 4",
29,"Ons'Kasse",
30,"Squeezy Lemons",
31,"FantasDisc 4",,"esprit sportif"
32,"Absolute",
33,"Oktopus",
34,"AuRéoLeS",
35,"Ani's chicks",
36,"Piranhas",
37,"Mofos","Ottawa"
38,"Mon équipe",
39,"Ta mère",
40,"Disklock",,"esprit sportif"
41,"Team You-Hou *","St-Jean-sur-Richelieu"
42,"Booms",
44,"KomeBak","Sherbrooke,Montréal"
44,"Citrons pressés *","St-Jean-sur-Richelieu"
45,"Licornes","St-Jean-sur-Richelieu"
46,"Why not coconut","Sherbrooke"
47,"Belles gueules","St-Jean-sur-Richelieu"
48,"Masterchief","Sherbrooke"
