1,"Ninjax","Montréal,Saguenay,Trois-Rivières"
2,"P'tits Ménés","Montréal,Gatineau,Sherbrooke"
3,"Chainsaw","Québec,Trois-Rivières"
4,"Turbo Fluo","La Province"
5,"Les Outs","Québec"
6,"Padawan","Sherbrooke,Trois-Rivières,Montréal"
7,"Bergers","Montréal,Québec,Sherbrooke,Gatineau"
8,"Caribou","Sherbrooke"
9,"Legends","Québec"
10,"Rookies","Québec"
11,"Trillium Carnage","Ontario"
12,"KGB","Québec"
13,"Sugar Mammies","Montréal"
14,"Mess around","Montréal"
15,"International","Montréal,Sherbrooke,Trois-Rivières"
16,"Commando","Sherbrooke"
17,"Steve French","Fredericton"
18,"8-piece Luggage Set","Gatineau,Ottawa"
19,"Rejected","Montréal"
20,"Tree Huckers","Moncton","esprit sportif"
21,"Wasabi","Montréal"
22,"Ninja Subs","Québec"
23,"Tux","Québec,Trois-Rivières"
24,"Dynamite","Ottawa,Gatineau"
25,"Captain Morgan","Québec,Rimouski,Trois-Rivières,Montréal"
26,"Mad Ployes","Edmundston"
27,"Poupix","Montréal"
28,"Sweet Dreams","Trois-Rivières"
29,"OrdéHum","Québec"
30,"Trick or Treat","Québec"
31,"Jeundz","Quebec"
32,"Squeezy Lemons","St-Jean-sur-Richelieu"
33,"Sales-Add","Québec"
34,"Sunrise","Québec"
35,"Oktopus","Sherbrooke"
36,"Diskover","Trois-Rivières"
37,"Gushmu","Québec"
38,"Jo lies","Quebec"
39,"Weedeaters","Québec"
40,"Piranhas","Sherbrooke"
41,"Chinook Old School","Québec"
42,"Kraken","Sherbrooke"
43,"Ons'Kasse","Montréal"
44,"Brodie's team","Québec"
45,"Mon équipe","Sherbrooke"
46,"FantasDisc 4","Sherbrooke,Québec"
47,"Chiefs","Montréal"
48,"Diskobol","Québec"
49,"Cobra Kai","Québec"
50,"Squall","Caplan,Baie des Chaleurs"
51,"Cocktail","Québec"
52,"Connect 4","Montréal,Sherbrooke"
53,"Disklock","Trois-Rivières","esprit sportif"
54,"Rocco","Québec"
55,"Freez Machines","Québec"
56,"Citrons pressés","St-Jean-sur-Richelieu"
57,"Marcel Leboeuf","Longueuil"
58,"Dirty spikes","Québec"
59,"Absolute","Sherbrooke,Montréal"
60,"Charrue","Gaspé"
61,"CPX","Québec"
62,"Mitaines","Québec"
63,"Zazzle","Moncton"
64,"AuRéoLeS","Montréal"
65,"Ani's chicks","Montréal"
66,"Myrmidons","Alma,Trois-Rivières"
67,"Ta mère","Sherbrooke,Québec,Drum,Thet,Long"
68,"Light Weight Team","Québec"
69,"Poilus","Quebec"
70,"Double zebras","Trois-Rivières,Québec"
71,"Bleu Marin","Gaspé"
72,"Greengos","Québec"
73,"Nussan Family","Québec"
74,"DisTrakFUL","Repentigny"
75,"Va-Comme-J’te-Pousse","Québec"
76,"Hammocks","Québec"
77,"SoSi Team","Québec"
78,"Alizé","Amqui"
79,"Jersey Scores","Québec"
80,"Tortues rapides","Edmundston,Fredericton"
81,"Nordet","Rimouski"
82,"Colle à dentier","Québec"
83,"Couvercle de plastique","Québec"
84,"Mr Freeze","Québec"
85,"Chapo Poilu","Québec"
86,"Mean Machine","Québec"
87,"Machines Gump","Québec"
88,"Maritime Mercs","all over"
89,"Pick-up AJJUQ","Partout"
90,"Charettes de plastique","Québec"
91,"Style libre","Montréal"
92,"Mammouths laineux","Québec-Rimouski"
93,"Uma Bazooka","Québec","esprit sportif"
94,"Booms","Sherbrooke"
95,"Nordiques","Québec"
96,"Zestes","Montréal"
97,"Rats De Swompe","Montréal"
98,"Promus","Québec"
99,"Les 109","Quebec"
100,"Stéréo","Sherbrooke"
101,"Power Geekers","Québec"
102,"Patriotes","Sherbrooke,Québec"
103,"Disco planes","Montreal"
104,"Pits pits","Montréal"
