Pos,Pts,Team name,Rg,Best,2nd best,3rd best
1,2988,Ninjax,"Trois-Rivières,Montréal,Saguenay",1 (1050) Movember,1 (1000) Mars Attaque,2 (938) Coup de Foudre
2,2822,P'tits Ménés,"Gatineau,Sherbrooke,Montréal,Québec",1 (1000) Bye Bye,2 (938) Mars Attaque,3 (884) Coup de Foudre
3,2719,Turbo Fluo,"La Province,Sherbrooke,Montréal,Québec",1 (1000) Coup de Foudre,3 (884) Bye Bye,4 (835) Mars Attaque
4,2461,Legends,Québec,4 (835) Coup de Foudre,4 (835) Movember,5 (791) Bye Bye
5,2438,Padawan,"Trois-Rivières,Sherbrooke,Montréal",2 (938) Movember,6 (750) Mars Attaque,6 (750) Bye Bye
6,2417,Les Outs,Québec,4 (835) Bye Bye,5 (791) Mars Attaque,5 (791) Movember
7,2306,Bergers,"Gatineau,Sherbrooke,Montréal,Québec",3 (884) Movember,7 (711) Mars Attaque,7 (711) Bye Bye
8,2275,Chainsaw,"Trois-Rivières,Ottawa,Québec",3 (884) Mars Attaque,6 (750) Coup de Foudre,9 (641) Bye Bye
9,2157,Trillium Carnage,"Ontario,Ottawa",2 (938) Bye Bye,9 (641) Movember,11 (578) Mars Attaque
10,1978,Rookies,Québec,5 (791) Coup de Foudre,10 (609) Mars Attaque,11 (578) Movember
11,1959,Sugar Mammies,Montréal,8 (675) Bye Bye,8 (675) Movember,10 (609) Coup de Foudre
12,1819,Commando,Sherbrooke,7 (711) Movember,4 (614) La Flotte,14 (494) Coup de Foudre
13,1802,Caribou,Sherbrooke,8 (675) Mars Attaque,11 (578) Coup de Foudre,12 (549) Movember
14,1795,KGB,Québec,3 (668) La Flotte,11 (578) Bye Bye,12 (549) Mars Attaque
15,1778,Mess around,Montréal,8 (675) Coup de Foudre,10 (609) Movember,14 (494) Mars Attaque
16,1547,International,"Trois-Rivières,Sherbrooke,Montréal",10 (609) Bye Bye,15 (469) Mars Attaque,15 (469) Movember
17,1437,Sweet Dreams,Trois-Rivières,6 (522) La Flotte,17 (471) Bye Bye,16 (444) Movember
18,1435,Tux,"Trois-Rivières,Québec",5 (566) La Flotte,15 (469) Coup de Foudre,1 (400) Oktober Disk
19,1424,Captain Morgan,"Trois-Rivières,Rimouski,Montréal,Québec",13 (521) Coup de Foudre,9 (459) La Flotte,16 (444) Bye Bye
20,1325,Rejected,Montréal,12 (549) Bye Bye,18 (399) Movember,19 (377) Mars Attaque
21,1207,Dynamite,"Gatineau,Ottawa",12 (549) Coup de Foudre,19 (377) Movember,24 (281) Mars Attaque
22,1161,Diskover,Trois-Rivières,17 (421) Movember,18 (399) Bye Bye,13 (341) La Flotte
23,1136,Wasabi,Montréal,16 (444) Coup de Foudre,20 (356) Bye Bye,21 (336) Mars Attaque
24,1132,Chiefs,"Ste-Adèle,Montréal",18 (399) Coup de Foudre,19 (377) Bye Bye,20 (356) Movember
25,1084,8-piece Luggage Set,"Gatineau,Hull,Ottawa",17 (421) Coup de Foudre,18 (399) Mars Attaque,25 (264) Movember
26,989,Sales-Add,Québec,21 (336) Bye Bye,21 (336) Movember,22 (317) Coup de Foudre
27,925,Absolute,"Sherbrooke,Montréal",7 (482) La Flotte,27 (282) Movember,32 (161) Coup de Foudre
28,920,Squeezy Lemons,St-Jean-sur-Richelieu,10 (377) La Flotte,2 (355) Oktober Disk,30 (188) Coup de Foudre
29,885,Voodoo,"Trois-Rivières,Sherbrooke",21 (336) Coup de Foudre,3 (317) Oktober Disk,27 (232) Bye Bye
30,882,Mad Ployes,Edmundston,3 (317) Fun E nuF,12 (317) La Flotte,26 (248) Mars Attaque
31,837,Sunrise,Québec,22 (317) Movember,25 (264) Coup de Foudre,5 (256) Oktober Disk
32,821,Steve French,Fredericton,17 (421) Mars Attaque,1 (400) Fun E nuF,
33,767,Mon équipe,Sherbrooke,4 (285) Oktober Disk,14 (265) La Flotte,28 (217) Bye Bye
34,761,Tree Huckers,Moncton,20 (406) Mars Attaque,2 (355) Fun E nuF,
35,728,Poupix,Montréal,26 (248) Coup de Foudre,26 (248) Movember,27 (232) Mars Attaque
36,718,Kraken,Sherbrooke,19 (377) Coup de Foudre,26 (248) Bye Bye,38 (93) Movember
37,683,Ons'Kasse,"Sherbrooke,Montréal",25 (264) Bye Bye,28 (217) Movember,29 (202) Coup de Foudre
38,665,Trick or Treat,Québec,23 (299) Coup de Foudre,30 (188) Mars Attaque,18 (178) La Flotte
39,591,FantasDisc 4,"Sherbrooke,Québec",6 (230) Oktober Disk,31 (224) Coup de Foudre,34 (137) Movember
40,533,Connect 4,"Sherbrooke,Montréal",15 (242) La Flotte,28 (217) Coup de Foudre,15 (74) Bonne annee
41,474,Ta mère,"Drum,Québec,Long,Sherbrooke,Thet,Saguenay",32 (161) Bye Bye,19 (160) La Flotte,37 (153) Movember
42,466,Squall,"Baie des Chaleurs,Caplan",16 (219) La Flotte,8 (184) Fun E nuF,50 (63) Mars Attaque
43,462,Oktopus,Sherbrooke,30 (188) Bye Bye,33 (149) Coup de Foudre,35 (125) Mars Attaque
44,448,Marcel Leboeuf,"Longueuil,Montréal",27 (232) Coup de Foudre,32 (161) Movember,57 (55) Mars Attaque
45,444,Lemon Drop,Québec,8 (444) La Flotte,,
46,389,Charrue,Gaspé,20 (192) La Flotte,10 (146) Fun E nuF,60 (51) Mars Attaque
47,384,Gushmu,Québec,24 (281) Bye Bye,37 (103) Mars Attaque,
48,361,AuRéoLeS,Montréal,34 (137) Coup de Foudre,35 (125) Bye Bye,13 (99) Bonne annee
49,355,Mess Nationale,Montréal,2 (355) Bonne annee,,
50,354,Morues,Gaspé,10 (146) Oktober Disk,35 (125) Movember,39 (83) Bye Bye
51,347,Disklock,Trois-Rivières,40 (124) Coup de Foudre,12 (114) Oktober Disk,53 (109) Mars Attaque
52,342,Ani's chicks,Montréal,35 (125) Coup de Foudre,36 (114) Movember,37 (103) Bye Bye
53,326,Piranhas,Sherbrooke,11 (129) Oktober Disk,36 (114) Coup de Foudre,39 (83) Movember
54,317,Family Feud,Ottawa,3 (317) Bonne annee,,
55,317,Ninja Subs,Québec,22 (317) Mars Attaque,,
56,304,Zazzle,Moncton,5 (256) Fun E nuF,63 (48) Mars Attaque,
57,294,Citrons pressés,St-Jean-sur-Richelieu,9 (164) Oktober Disk,40 (74) Movember,56 (56) Mars Attaque
58,285,G's Pot,Guelph,4 (285) Bonne annee,,
59,285,Notorious slugs,Fredericton,4 (285) Fun E nuF,,
60,282,DisTrakFUL,Repentigny,7 (206) Oktober Disk,44 (41) Movember,74 (35) Mars Attaque
61,281,Nostalgia,Montréal,24 (281) Bye Bye,,
62,280,Pouliches volantes,Rimouski,6 (280) Fun E nuF,,
63,256,Watch the Thrown,Ottawa,5 (256) Bonne annee,,
64,206,Team Great Parking,Moncton,7 (206) Fun E nuF,,
65,202,OrdéHum,Québec,29 (202) Mars Attaque,,
66,198,Paix et Sérénité,Rimouski,17 (198) La Flotte,,
67,195,Alizé,Amqui,9 (164) Fun E nuF,78 (31) Mars Attaque,
68,193,Booms,"Sherbrooke,Montréal,Saguenay",15 (124) Oktober Disk,42 (57) Coup de Foudre,94 (12) Mars Attaque
69,184,Wernesgruner,"Saguenay-Lac-St-Jean,Sherbrooke,Québec",8 (184) Oktober Disk,28 (0) Bonne annee,
70,174,Jeundz,Quebec,31 (174) Mars Attaque,,
71,168,Bleu Marin,Gaspé,11 (129) Fun E nuF,71 (39) Mars Attaque,
72,160,Nordet,Rimouski,21 (126) La Flotte,81 (27) Mars Attaque,49 (7) Bye Bye
73,149,Robot Rock,Montréal,33 (149) Movember,,
74,143,Team You-Hou,St-Jean-sur-Richelieu,14 (86) Oktober Disk,42 (57) Movember,
75,133,Double zebras,"Trois-Rivières,Québec",38 (93) Bye Bye,70 (40) Mars Attaque,
76,130,Grues d’acajou,Saguenay,24 (82) La Flotte,43 (48) Movember,51 (0) Bye Bye
77,118,Cocktail,Québec,51 (61) Mars Attaque,42 (57) Bye Bye,
78,114,UMCE,Edmundston,12 (114) Fun E nuF,,
79,114,Delta Force,Sherbrooke,12 (114) Bonne annee,,
80,110,Match and mix,"Sherbrooke,Montréal",22 (110) La Flotte,,
81,103,Mofos,Ottawa,37 (103) Coup de Foudre,,
82,102,Tortues rapides,"Moncton,Fredericton,Edmundston",15 (74) Fun E nuF,80 (28) Mars Attaque,
83,101,Dirty spikes,Québec,58 (53) Mars Attaque,43 (48) Bye Bye,
84,99,Saïmiris,St-Jean-sur-Richelieu,13 (99) Oktober Disk,,
85,99,UNB,Fredericton,13 (99) Fun E nuF,,
86,95,Subasko,Baie des Chaleurs,23 (95) La Flotte,,
87,93,Jo lies,Quebec,38 (93) Mars Attaque,,
88,86,Anarchy,St-John,14 (86) Fun E nuF,,
89,83,CPX,Québec,61 (50) Mars Attaque,45 (33) Bye Bye,
90,83,Weedeaters,Québec,39 (83) Mars Attaque,,
91,76,Bretzels,Montréal,16 (63) Oktober Disk,48 (13) Movember,
92,74,Moby disk,Montréal,40 (74) Bye Bye,,
93,73,Chinook Old School,Québec,41 (73) Mars Attaque,,
