Pos,Pts,Team name,Rg,Best,2nd best
1,1883,Ninjax,"Trois-Rivières,Montréal,Saguenay",1 (1050) Movember,2 (833) Coup de Foudre
2,1736,Turbo Fluo,"La Province,Sherbrooke,Montréal,Québec",1 (1000) Coup de Foudre,3 (736) Bye Bye
3,1736,P'tits Ménés,"Gatineau,Sherbrooke,Montréal,Québec",1 (1000) Bye Bye,3 (736) Coup de Foudre
4,1403,Padawan,"Trois-Rivières,Sherbrooke,Montréal",2 (833) Movember,6 (570) Bye Bye
5,1334,Legends,Québec,4 (667) Coup de Foudre,4 (667) Movember
6,1333,Trillium Carnage,"Ontario,Ottawa",2 (833) Bye Bye,1 (500) Bonne annee
7,1280,Les Outs,Québec,4 (667) Bye Bye,5 (613) Movember
8,1269,Bergers,"Gatineau,Sherbrooke,Montréal,Québec",3 (736) Movember,7 (533) Bye Bye
9,1042,Chainsaw,"Trois-Rivières,Ottawa,Québec",6 (570) Coup de Foudre,9 (472) Bye Bye
10,1037,Rookies,Québec,5 (613) Coup de Foudre,11 (424) Movember
11,1002,Sugar Mammies,Montréal,8 (501) Bye Bye,8 (501) Movember
12,948,Mess around,Montréal,8 (501) Coup de Foudre,10 (447) Movember
13,899,Commando,Sherbrooke,7 (533) Movember,14 (366) Coup de Foudre
14,850,Tux,"Trois-Rivières,Québec",1 (500) Oktober Disk,15 (350) Coup de Foudre
15,827,Caribou,Sherbrooke,11 (424) Coup de Foudre,12 (403) Movember
16,797,International,"Trois-Rivières,Sherbrooke,Montréal",10 (447) Bye Bye,15 (350) Movember
17,790,KGB,Québec,11 (424) Bye Bye,14 (366) Movember
18,718,Captain Morgan,"Trois-Rivières,Rimouski,Montréal,Québec",13 (384) Coup de Foudre,16 (334) Bye Bye
19,709,Rejected,Montréal,12 (403) Bye Bye,18 (306) Movember
20,703,Sweet Dreams,Trois-Rivières,17 (369) Bye Bye,16 (334) Movember
21,696,Dynamite,"Gatineau,Ottawa",12 (403) Coup de Foudre,19 (293) Movember
22,625,Diskover,Trois-Rivières,17 (319) Movember,18 (306) Bye Bye
23,614,Wasabi,Montréal,16 (334) Coup de Foudre,20 (280) Bye Bye
24,611,Voodoo,"Trois-Rivières,Sherbrooke",3 (342) Oktober Disk,21 (269) Coup de Foudre
25,599,Chiefs,"Ste-Adèle,Montréal",18 (306) Coup de Foudre,19 (293) Bye Bye
26,584,Squeezy Lemons,St-Jean-sur-Richelieu,2 (400) Oktober Disk,9 (184) Bonne annee
27,546,8-piece Luggage Set,"Gatineau,Hull,Ottawa",17 (319) Coup de Foudre,25 (227) Movember
28,538,Sales-Add,Québec,21 (269) Bye Bye,21 (269) Movember
29,526,Sunrise,Québec,5 (268) Oktober Disk,22 (258) Movember
30,510,Kraken,Sherbrooke,19 (293) Coup de Foudre,26 (217) Bye Bye
31,500,Mon équipe,Sherbrooke,4 (300) Oktober Disk,28 (200) Bye Bye
32,478,Absolute,"Sherbrooke,Montréal",27 (258) Movember,7 (220) La Flotte
33,467,FantasDisc 4,"Sherbrooke,Québec",6 (242) Oktober Disk,31 (225) Coup de Foudre
34,434,Poupix,Montréal,26 (217) Coup de Foudre,26 (217) Movember
35,427,Ons'Kasse,"Sherbrooke,Montréal",25 (227) Bye Bye,28 (200) Movember
36,417,Trick or Treat,Québec,23 (247) Coup de Foudre,14 (170) Bonne annee
37,400,Mess Nationale,Montréal,2 (400) Bonne annee,
38,375,Marcel Leboeuf,"Longueuil,Montréal",27 (208) Coup de Foudre,32 (167) Movember
39,350,Ta mère,"Drum,Québec,Long,Sherbrooke,Thet,Saguenay",37 (183) Movember,32 (167) Bye Bye
40,343,Oktopus,Sherbrooke,30 (183) Bye Bye,33 (160) Coup de Foudre
41,342,Family Feud,Ottawa,3 (342) Bonne annee,
42,314,Morues,Gaspé,10 (168) Oktober Disk,35 (146) Movember
43,311,DisTrakFUL,Repentigny,7 (220) Oktober Disk,44 (91) Movember
44,310,Connect 4,"Sherbrooke,Montréal",28 (200) Coup de Foudre,15 (110) La Flotte
45,306,Disklock,Trois-Rivières,40 (164) Coup de Foudre,12 (142) Oktober Disk
46,300,G's Pot,Guelph,4 (300) Bonne annee,
47,299,AuRéoLeS,Montréal,34 (153) Coup de Foudre,35 (146) Bye Bye
48,298,Citrons pressés,St-Jean-sur-Richelieu,9 (184) Oktober Disk,40 (114) Movember
49,294,Piranhas,Sherbrooke,11 (155) Oktober Disk,36 (139) Coup de Foudre
50,285,Ani's chicks,Montréal,35 (146) Coup de Foudre,36 (139) Movember
51,268,Watch the Thrown,Ottawa,5 (268) Bonne annee,
52,262,Booms,"Sherbrooke,Montréal,Saguenay",15 (160) Oktober Disk,42 (102) Coup de Foudre
53,237,Nostalgia,Montréal,24 (237) Bye Bye,
54,237,Gushmu,Québec,24 (237) Bye Bye,37 (0) Mars Attaque
55,222,Team You-Hou,St-Jean-sur-Richelieu,14 (120) Oktober Disk,42 (102) Movember
56,221,Wernesgruner,"Saguenay-Lac-St-Jean,Sherbrooke,Québec",8 (201) Oktober Disk,28 (20) Bonne annee
57,201,Lemon Drop,Québec,8 (201) La Flotte,
58,171,Bretzels,Montréal,16 (101) Oktober Disk,48 (70) Movember
59,160,Robot Rock,Montréal,33 (160) Movember,
60,155,Wannabus,Montréal,46 (80) Bye Bye,47 (75) Movember
61,153,Grues d’acajou,Saguenay,43 (97) Movember,51 (56) Bye Bye
62,142,Delta Force,Sherbrooke,12 (142) Bonne annee,
63,142,Mad Ployes,Edmundston,12 (142) La Flotte,26 (0) Mars Attaque
64,133,Mofos,Ottawa,37 (133) Coup de Foudre,
65,131,Saïmiris,St-Jean-sur-Richelieu,13 (131) Oktober Disk,
66,127,Nordet,Rimouski,49 (65) Bye Bye,21 (62) La Flotte
67,126,Double zebras,"Trois-Rivières,Québec",38 (126) Bye Bye,70 (0) Mars Attaque
68,119,Charrue,Gaspé,20 (119) La Flotte,60 (0) Mars Attaque
69,114,Moby disk,Montréal,40 (114) Bye Bye,
70,108,Team You-Hou *,St-Jean-sur-Richelieu,41 (108) Coup de Foudre,
71,102,Cocktail,Québec,42 (102) Bye Bye,51 (0) Mars Attaque
72,101,Squall,"Baie des Chaleurs,Caplan",16 (101) La Flotte,50 (0) Mars Attaque
73,101,El Toro,Trois-Rivières,16 (101) Bonne annee,
74,97,Dirty spikes,Québec,43 (97) Bye Bye,58 (0) Mars Attaque
75,92,Paix et Sérénité,Rimouski,17 (92) La Flotte,
76,91,KomeBak,"Sherbrooke,Montréal",44 (91) Coup de Foudre,
77,91,Citrons pressés *,St-Jean-sur-Richelieu,44 (91) Coup de Foudre,
78,91,Pick-ups,Trois-Rivières,44 (91) Bye Bye,
79,86,CPX,Québec,45 (86) Bye Bye,61 (0) Mars Attaque
80,86,Licornes,St-Jean-sur-Richelieu,45 (86) Coup de Foudre,
81,84,Pas-te Toast,Ottawa,18 (84) Bonne annee,
82,80,Va-Comme-J’te-Pousse,Québec,46 (80) Movember,75 (0) Mars Attaque
83,80,Why not coconut,Sherbrooke,46 (80) Coup de Foudre,
84,75,Belles gueules,St-Jean-sur-Richelieu,47 (75) Coup de Foudre,
85,70,Masterchief,Sherbrooke,48 (70) Coup de Foudre,
86,62,MoFOS,Ottawa,21 (62) Bonne annee,
87,55,Match and mix,"Sherbrooke,Montréal",22 (55) La Flotte,
88,55,Fence Post,Ottawa,22 (55) Bonne annee,
89,51,Medu,Montréal,52 (51) Bye Bye,
90,50,Tree Huckers,Moncton,20 (50) Mars Attaque,2 (0) Fun E nuF
91,50,Pouliches volantes,Rimouski,6 (50) Fun E nuF,
92,50,Uma Bazooka,Québec,93 (50) Mars Attaque,
93,49,Schweddy Discs,Ottawa,23 (49) Bonne annee,
94,49,Subasko,Baie des Chaleurs,23 (49) La Flotte,
95,42,Tête dans l'cul,Montréal,24 (42) Bonne annee,
96,37,BUS,Ottawa,25 (37) Bonne annee,
