Pos,Pts,Team name,Best,2nd best,Provenance
1,1986,Ninjax,1 (1050) Movember,2 (936) Coup de Foudre,"Trois-Rivières,Montréal,Saguenay"
2,1881,P'tits Ménés,1 (1000) Bye Bye,3 (881) Coup de Foudre,"Gatineau,Sherbrooke,Montréal,Québec"
3,1881,Turbo Fluo,1 (1000) Coup de Foudre,3 (881) Bye Bye,"La Province,Sherbrooke,Montréal,Québec"
4,1681,Padawan,2 (936) Movember,6 (745) Bye Bye,"Trois-Rivières,Sherbrooke,Montréal"
5,1662,Legends,4 (831) Coup de Foudre,4 (831) Movember,Québec
6,1617,Les Outs,4 (831) Bye Bye,5 (786) Movember,Québec
7,1602,Trillium Carnage,2 (936) Bye Bye,1 (666) Bonne annee,"Ontario,Ottawa"
8,1587,Bergers,3 (881) Movember,7 (706) Bye Bye,"Gatineau,Sherbrooke,Montréal,Québec"
9,1380,Chainsaw,6 (745) Coup de Foudre,9 (635) Bye Bye,"Trois-Rivières,Ottawa,Québec"
10,1358,Rookies,5 (786) Coup de Foudre,11 (572) Movember,Québec
11,1338,Sugar Mammies,8 (669) Bye Bye,8 (669) Movember,Montréal
12,1272,Mess around,8 (669) Coup de Foudre,10 (603) Movember,Montréal
13,1195,Commando,7 (706) Movember,14 (489) Coup de Foudre,Sherbrooke
14,1129,Tux,1 (666) Oktober Disk,15 (463) Coup de Foudre,"Trois-Rivières,Québec"
15,1115,Caribou,11 (572) Coup de Foudre,12 (543) Movember,Sherbrooke
16,1102,KGB,11 (572) Bye Bye,3 (530) La Flotte,Québec
17,1066,International,10 (603) Bye Bye,15 (463) Movember,"Trois-Rivières,Sherbrooke,Montréal"
18,954,Captain Morgan,13 (515) Coup de Foudre,16 (439) Bye Bye,"Trois-Rivières,Rimouski,Montréal,Québec"
19,937,Rejected,12 (543) Bye Bye,18 (394) Movember,Montréal
20,929,Dynamite,12 (543) Coup de Foudre,6 (386) Bonne annee,"Gatineau,Ottawa"
21,905,Sweet Dreams,17 (466) Bye Bye,16 (439) Movember,Trois-Rivières
22,873,Squeezy Lemons,2 (592) Oktober Disk,9 (281) Bonne annee,St-Jean-sur-Richelieu
23,864,Voodoo,3 (530) Oktober Disk,21 (334) Coup de Foudre,"Trois-Rivières,Sherbrooke"
24,810,Diskover,17 (416) Movember,18 (394) Bye Bye,Trois-Rivières
25,792,Wasabi,16 (439) Coup de Foudre,20 (353) Bye Bye,Montréal
26,767,Chiefs,18 (394) Coup de Foudre,19 (373) Bye Bye,"Ste-Adèle,Montréal"
27,764,8-piece Luggage Set,17 (416) Coup de Foudre,7 (348) Bonne annee,"Gatineau,Hull,Ottawa"
28,744,Sunrise,5 (429) Oktober Disk,22 (315) Movember,Québec
29,695,Mon équipe,4 (476) Oktober Disk,28 (219) Bye Bye,Sherbrooke
30,668,Sales-Add,21 (334) Bye Bye,21 (334) Movember,Québec
31,632,Absolute,7 (348) La Flotte,27 (284) Movember,"Sherbrooke,Montréal"
32,622,Kraken,19 (373) Coup de Foudre,26 (249) Bye Bye,Sherbrooke
33,616,FantasDisc 4,6 (386) Oktober Disk,31 (230) Coup de Foudre,"Sherbrooke,Québec"
34,592,Mess Nationale,2 (592) Bonne annee,,Montréal
35,530,Family Feud,3 (530) Bonne annee,,Ottawa
36,515,Ons'Kasse,25 (264) Bye Bye,10 (251) Bonne annee,"Sherbrooke,Montréal"
37,503,Trick or Treat,23 (297) Coup de Foudre,14 (206) Bonne annee,Québec
38,498,Poupix,26 (249) Coup de Foudre,26 (249) Movember,Montréal
39,476,G's Pot,4 (476) Bonne annee,,Guelph
40,429,Watch the Thrown,5 (429) Bonne annee,,Ottawa
41,409,DisTrakFUL,7 (348) Oktober Disk,44 (61) Movember,Repentigny
42,402,Marcel Leboeuf,27 (234) Coup de Foudre,32 (168) Movember,"Longueuil,Montréal"
43,386,Morues,10 (251) Oktober Disk,35 (135) Movember,Gaspé
44,370,Citrons pressés,9 (281) Oktober Disk,40 (89) Movember,St-Jean-sur-Richelieu
45,356,Connect 4,28 (219) Coup de Foudre,15 (137) La Flotte,"Sherbrooke,Montréal"
46,349,Piranhas,11 (224) Oktober Disk,36 (125) Coup de Foudre,Sherbrooke
47,348,Oktopus,30 (192) Bye Bye,33 (156) Coup de Foudre,Sherbrooke
48,339,Disklock,12 (200) Oktober Disk,40 (139) Coup de Foudre,Trois-Rivières
49,333,Ta mère,32 (168) Bye Bye,37 (165) Movember,"Drum,Québec,Long,Sherbrooke,Thet,Saguenay"
50,322,AuRéoLeS,13 (177) Bonne annee,34 (145) Coup de Foudre,Montréal
51,320,Wernesgruner,8 (313) Oktober Disk,28 (7) Bonne annee,"Saguenay-Lac-St-Jean,Sherbrooke,Québec"
52,313,Lemon Drop,8 (313) La Flotte,,Québec
53,280,Nostalgia,24 (280) Bye Bye,,Montréal
54,280,Gushmu,24 (280) Bye Bye,37 (0) Mars Attaque,Québec
55,261,Booms,15 (187) Oktober Disk,42 (74) Coup de Foudre,"Sherbrooke,Montréal,Saguenay"
56,260,Ani's chicks,35 (135) Coup de Foudre,36 (125) Movember,Montréal
