Pos,Pts,Team name,Best,2nd best,3rd best,Provenance
1,2911, Revolver,1 (1000) USA Championship,1 (1000) US Open,2 (911) West Coast Cup,SW
2,2746, Doublewide,1 (1000) Colorado Cup,2 (911) Pro Flight Finale,3 (835) US Open,SC
3,2746, Sockeye,1 (1000) West Coast Cup,2 (911) USA Championship,3 (835) Club Terminus,NW
4,2670, PoNY,1 (1000) Club Terminus,3 (835) Colorado Cup,3 (835) Chesapeake Invite,NE
5,2657, Ironside,2 (911) US Open,2 (911) Chesapeake Invite,3 (835) USA Championship,NE
6,2603, Machine,1 (1000) Heavyweights,3 (835) Pro Flight Finale,4 (768) Club Terminus,GL
7,2447, Johnny Bravo,2 (911) Colorado Cup,4 (768) USA Championship,4 (768) West Coast Cup,SC
8,2361, GOAT,1 (1000) Pro Flight Finale,5 (708) Chesapeake Invite,6 (653) Club Terminus,NE
9,2219, Sub Zero,1 (1000) Chesapeake Invite,5 (708) Heavyweights,9 (511) USA Championship,NC
10,2166, Chain Lightning,2 (911) Club Terminus,6 (653) Chesapeake Invite,7 (602) Pro Flight Finale,SE
11,2043, Ring of Fire,3 (835) US Open,6 (653) Pro Flight Finale,8 (555) Chesapeake Invite,SE
12,1937, High Five,3 (835) Heavyweights,7 (602) Chesapeake Invite,1 (500) No Surf,GL
13,1927, Rhino,5 (708) West Coast Cup,5 (708) Colorado Cup,9 (511) Club Terminus,NW
14,1910, Madison Club,2 (911) Heavyweights,7 (602) Colorado Cup,12 (397) Club Terminus,NC
15,1881, Truck Stop,4 (768) Colorado Cup,7 (602) Club Terminus,9 (511) Chesapeake Invite,MA
16,1685, Inception,4 (768) Heavyweights,1 (500) Col. Cup noTCT,3 (417) San Diego Slammer,SC
17,1492, Streetgang,6 (653) Heavyweights,2 (455) San Diego Slammer,4 (384) Cal State,SW
18,1455, Chicago Club,5 (708) US Open,4 (384) Mot. Throwdown,13 (363) Heavyweights,GL
19,1408, Florida United,9 (511) Colorado Cup,1 (500) Old Dominion Q.,12 (397) USA Championship,SE
20,1363, Condors,1 (500) San Diego Slammer,1 (500) Cal State,13 (363) USA Championship,SW
21,1340, LA Renegade,7 (602) Heavyweights,4 (384) Cal State,5 (354) San Diego Slammer,SW
22,1284, Madcow,2 (455) Mot. Throwdown,11 (432) Colorado Cup,12 (397) Chesapeake Invite,GL
23,1252, Cash Crop,10 (471) Chesapeake Invite,12 (397) Colorado Cup,4 (384) Old Dominion Q.,SE
24,1087, Dire Wolf,2 (455) No Surf,4 (384) Cazenovia,17 (248) Heavyweights,MA
25,1085, Prairie Fire,6 (653) Colorado Cup,11 (432) Heavyweights,3 (0) NC Reg,NC
26,1010, Boost Mobile,8 (555) Club Terminus,2 (455) Cal State,5 (0) SW Reg,SW
27,1007, Medicine Men,12 (397) Heavyweights,5 (354) Old Dominion Q.,9 (256) Cazenovia,MA
28,986, Mephisto,7 (602) US Open,4 (384) Cazenovia,7 (0) NE Reg,NE
29,888, Voodoo,10 (471) Colorado Cup,3 (417) San Diego Slammer,4 (0) NW Reg,NW
30,865, Sprawl,9 (511) Heavyweights,5 (354) San Diego Slammer,4 (0) SW Reg,SW
31,835, Buzz Bullets,3 (835) West Coast Cup,,,
32,833, Garuda,8 (555) Heavyweights,8 (278) Cazenovia,4 (0) NE Reg,NE
33,803, Furious George,10 (471) Club Terminus,14 (332) USA Championship,2 (0) NW Reg,NW
34,768, Clapham,4 (768) Chesapeake Invite,,,
35,686, Oaks,5 (354) Cal State,14 (332) Heavyweights,7 (0) SW Reg,SW
36,656, Castle,5 (354) Mot. Throwdown,15 (302) Heavyweights,5 (0) NC Reg,NC
37,653, Euforia,6 (653) US Open,,,
38,632, Sheet Metal,5 (354) No Surf,8 (278) Cazenovia,,
39,594, Beachfront Property,3 (417) Mot. Throwdown,20 (177) Heavyweights,6 (0) GL Reg,GL
40,575, Space City Ignite,7 (301) San Diego Slammer,16 (274) Heavyweights,4 (0) SC Reg,SC
41,562, Chico,6 (326) Cal State,10 (236) San Diego Slammer,,
42,555, Plex,8 (555) Colorado Cup,5 (0) SC Reg,,SC
43,555, Ragnarok,8 (555) US Open,,,
44,534, Gridlock,8 (278) Cal State,9 (256) San Diego Slammer,8 (0) SW Reg,SW
45,500, Ulysse,1 (500) Cazenovia,,,
