Pos,Pts,Team name,Rg,Best,2nd best,3rd best
1,2911, Revolver,SW,1 (1000) US Open,1 (1000) USA Championship,2 (911) West Coast Cup
2,2746, Doublewide,SC,1 (1000) Colorado Cup,2 (911) Pro Flight Finale,3 (835) US Open
3,2746, Sockeye,NW,1 (1000) West Coast Cup,2 (911) USA Championship,3 (835) Club Terminus
4,2670, PoNY,NE,1 (1000) Club Terminus,3 (835) Colorado Cup,3 (835) Chesapeake Invite
5,2657, Ironside,NE,2 (911) US Open,2 (911) Chesapeake Invite,3 (835) USA Championship
6,2603, Machine,GL,1 (1000) Heavyweights,3 (835) Pro Flight Finale,4 (768) Club Terminus
7,2447, Johnny Bravo,SC,2 (911) Colorado Cup,4 (768) USA Championship,4 (768) West Coast Cup
8,2361, GOAT,NE,1 (1000) Pro Flight Finale,5 (708) Chesapeake Invite,6 (653) Club Terminus
9,2219, Sub Zero,NC,1 (1000) Chesapeake Invite,5 (708) Heavyweights,9 (511) USA Championship
10,2166, Chain Lightning,SE,2 (911) Club Terminus,6 (653) Chesapeake Invite,7 (602) Pro Flight Finale
11,2043, Ring of Fire,SE,3 (835) US Open,6 (653) Pro Flight Finale,8 (555) Chesapeake Invite
12,1937, High Five,GL,3 (835) Heavyweights,7 (602) Chesapeake Invite,1 (500) No Surf
13,1927, Rhino,NW,5 (708) Colorado Cup,5 (708) West Coast Cup,9 (511) Club Terminus
14,1910, Madison Club,NC,2 (911) Heavyweights,7 (602) Colorado Cup,12 (397) Club Terminus
15,1881, Truck Stop,MA,4 (768) Colorado Cup,7 (602) Club Terminus,9 (511) Chesapeake Invite
16,1685, Inception,SC,4 (768) Heavyweights,1 (500) Col. Cup noTCT,3 (417) San Diego Slammer
17,1492, Streetgang,SW,6 (653) Heavyweights,2 (455) San Diego Slammer,4 (384) Cal State
18,1455, Chicago Club,GL,5 (708) US Open,4 (384) Mot. Throwdown,13 (363) Heavyweights
19,1408, Florida United,SE,9 (511) Colorado Cup,1 (500) Old Dominion Q.,12 (397) USA Championship
20,1363, Condors,SW,1 (500) Cal State,1 (500) San Diego Slammer,13 (363) USA Championship
21,1340, LA Renegade,SW,7 (602) Heavyweights,4 (384) Cal State,5 (354) San Diego Slammer
22,1284, Madcow,GL,2 (455) Mot. Throwdown,11 (432) Colorado Cup,12 (397) Chesapeake Invite
23,1252, Cash Crop,SE,10 (471) Chesapeake Invite,12 (397) Colorado Cup,4 (384) Old Dominion Q.
24,1087, Dire Wolf,MA,2 (455) No Surf,4 (384) Cazenovia,17 (248) Heavyweights
25,1085, Prairie Fire,NC,6 (653) Colorado Cup,11 (432) Heavyweights,3 (0) NC Reg
26,1010, Boost Mobile,SW,8 (555) Club Terminus,2 (455) Cal State,5 (0) SW Reg
27,1007, Medicine Men,MA,12 (397) Heavyweights,5 (354) Old Dominion Q.,9 (256) Cazenovia
28,986, Mephisto,NE,7 (602) US Open,4 (384) Cazenovia,7 (0) NE Reg
29,888, Voodoo,NW,10 (471) Colorado Cup,3 (417) San Diego Slammer,4 (0) NW Reg
30,865, Sprawl,SW,9 (511) Heavyweights,5 (354) San Diego Slammer,4 (0) SW Reg
31,835, Buzz Bullets,,3 (835) West Coast Cup,,
32,833, Garuda,NE,8 (555) Heavyweights,8 (278) Cazenovia,4 (0) NE Reg
33,803, Furious George,NW,10 (471) Club Terminus,14 (332) USA Championship,2 (0) NW Reg
34,768, Clapham,,4 (768) Chesapeake Invite,,
35,686, Oaks,SW,5 (354) Cal State,14 (332) Heavyweights,7 (0) SW Reg
36,656, Castle,NC,5 (354) Mot. Throwdown,15 (302) Heavyweights,5 (0) NC Reg
37,653, Euforia,,6 (653) US Open,,
38,632, Sheet Metal,,5 (354) No Surf,8 (278) Cazenovia,
39,594, Beachfront Property,GL,3 (417) Mot. Throwdown,20 (177) Heavyweights,6 (0) GL Reg
40,575, Space City Ignite,SC,7 (301) San Diego Slammer,16 (274) Heavyweights,4 (0) SC Reg
41,562, Chico,,6 (326) Cal State,10 (236) San Diego Slammer,
42,555, Ragnarok,,8 (555) US Open,,
43,555, Plex,SC,8 (555) Colorado Cup,5 (0) SC Reg,
44,534, Gridlock,SW,8 (278) Cal State,9 (256) San Diego Slammer,8 (0) SW Reg
45,500, Ulysse,,1 (500) Cazenovia,,
46,471, Brickyard,GL,10 (471) Heavyweights,7 (0) GL Reg,
47,467, Midnight Meat Train,GL,7 (301) No Surf,14 (166) Mot. Throwdown,12 (0) GL Reg
48,458, Lake Effect,GL,7 (301) Mot. Throwdown,21 (157) Heavyweights,4 (0) GL Reg
49,455, Tanasi,SE,2 (455) Old Dominion Q.,7 (0) SE Reg,
50,455, Powderhogs,NW,2 (455) Col. Cup noTCT,5 (0) NW Reg,
51,453, Madador,,10 (236) No Surf,11 (217) Mot. Throwdown,
52,435, BD Air Show,SW,10 (236) Cal State,12 (199) San Diego Slammer,10 (0) SW Reg
53,432, Oakland,MA,11 (432) Chesapeake Invite,5 (0) MA Reg,
54,417, Boneyard,,3 (417) Old Dominion Q.,,
55,417, Choice City Hops,,3 (417) Col. Cup noTCT,,
56,417, Madcow Y,,3 (417) No Surf,,
57,405, Inception-Red,,4 (384) Col. Cup noTCT,30 (21) Heavyweights,
58,399, CAKti,,11 (217) No Surf,13 (182) Mot. Throwdown,
59,384, Madcow X,,4 (384) No Surf,,
60,363, Phoenix,NE,13 (363) Colorado Cup,6 (0) NE Reg,
61,354, Sweet Roll,SC,5 (354) Col. Cup noTCT,11 (0) SC Reg,
62,354, The Nights Watch,NE,5 (354) Cazenovia,11 (0) NE Reg,
63,326, Grand Trunk,,6 (326) No Surf,,
64,326, Vanier Wildcats,,6 (326) Cazenovia,,
65,326, Floodwall,,6 (326) Old Dominion Q.,,
66,326, Enigma,GL,6 (326) Mot. Throwdown,10 (0) GL Reg,
67,301, The Ghosts,,7 (301) San Diego Slammer,,
68,301, Swell,,7 (301) Old Dominion Q.,,
69,278, Old Growth,,8 (278) Cal State,,
