Pos,Pts,Team name,Best,2nd best,Provenance
1,1955,Trillium Carnage,1 (1000) Coup de Foudre,2 (955) Bye Bye,
2,1916,Louis Luncheonette,1 (1000) Bye Bye,3 (916) Movember,
3,1916,Outs,1 (1000) Movember,3 (916) Bye Bye,
4,1886,NinjaX,2 (1005) Movember,4 (881) Coup de Foudre,
5,1803,Turbo Fluo,2 (955) Coup de Foudre,5 (848) Bye Bye,
6,1704,Vallée des Licornes,3 (916) Coup de Foudre,7 (788) Movember,
7,1698,Sugar Mommies,4 (881) Movember,6 (817) Bye Bye,
8,1696,Rebellion,5 (848) Movember,5 (848) Coup de Foudre,
9,1642,Squeezy Lemon,4 (881) Bye Bye,8 (761) Movember,
10,1523,UltiBattleDisc l'équipe d'Ultimate Récréatif ,7 (788) Bye Bye,9 (735) Movember,
11,1474,KGB,7 (788) Coup de Foudre,11 (686) Bye Bye,
12,1471,Qg,8 (761) Bye Bye,10 (710) Coup de Foudre,
13,1332,Joyeux compagnons,1 (666) La Flotte,1 (666) Oktober Disk,
14,1309,Chainsaw,10 (710) Movember,15 (599) Bye Bye,
15,1309,9h50,10 (710) Bye Bye,15 (599) Movember,
16,1304,Douze Singes,12 (663) Movember,13 (641) Coup de Foudre,
17,1300,Quality Control,11 (686) Movember,2 (614) Bonne annee,
18,1210,Light Weight,11 (686) Coup de Foudre,19 (524) Bye Bye,
19,1205,Piggy Pogo Hippo,12 (663) Bye Bye,18 (542) Coup de Foudre,
20,1200,Disklock,14 (620) Coup de Foudre,16 (580) Movember,
21,1187,Marianne,12 (663) Coup de Foudre,19 (524) Movember,
22,1141,Grosses,16 (580) Coup de Foudre,17 (561) Movember,
23,1131,James Street Bulldogs,3 (570) Bonne annee,17 (561) Coup de Foudre,
24,1104,L'équipe Pick-Up,2 (614) La Flotte,21 (490) Coup de Foudre,
25,1014,Commando,19 (524) Coup de Foudre,21 (490) Movember,
26,1004,Connect4,4 (530) Oktober Disk,22 (474) Bye Bye,
27,970,Plan B,18 (542) Movember,25 (428) Bye Bye,
28,964,Evolve,21 (490) Bye Bye,22 (474) Coup de Foudre,
29,938,Carl Carmoni,5 (495) Oktober Disk,24 (443) Coup de Foudre,
30,932,Chiefs,22 (474) Movember,23 (458) Coup de Foudre,
31,913,Squall,4 (530) La Flotte,1 (383) CEQU4 Carleton,
32,907,Quarks,23 (458) Movember,27 (449) Coup de Foudre,
33,886,VTM,23 (458) Bye Bye,25 (428) Coup de Foudre,
34,779,Glenncellents,7 (432) La Flotte,31 (347) Movember,
35,766,hamer time,24 (443) Movember,33 (323) Bye Bye,
36,764,Arm & Hammer,8 (404) Oktober Disk,30 (360) Coup de Foudre,
37,720,Bolt,30 (360) Movember,30 (360) Bye Bye,
38,717,Hurakan,28 (386) Bye Bye,11 (331) Oktober Disk,
39,713,Weedeaters,9 (378) Oktober Disk,32 (335) Bye Bye,
40,711,Bleu Marin,9 (378) La Flotte,1 (333) CEQU4 Gaspe,
41,683,4-Da-Win,35 (350) Coup de Foudre,1 (333) Victo Bowl,
42,665,Jackalopes,10 (354) La Flotte,34 (311) Coup de Foudre,
43,647,Bazooka,31 (347) Coup de Foudre,35 (300) Bye Bye,
