1,Trillium Carnage,,
2,Turbo Fluo,,
3,La Vallée des Licornes,,
4,Ninjax,,
5,Rebellion,,
6,Louis Luncheonette,,
7,KGB,,
7,Sugar Mommies,,
9,Les Outs,,
10,le Qg,,
11,Light Weight,,
12,Marianne,,
13,Douze Singes,,
14,Disklock,,
15,Squeezy Lemon,,
16,Les grosses,,
17,James Street Bulldogs,,
18,Piggy Pogo Hippo,,
19,Commando,,
20,9h50,,
21,L'équipe Pick-Up,,
22,Evolve,,
23,Les Chiefs,,
24,Carl Carmoni,,
25,VTM,,
25,Connect4,,
27,Quarks,,"esprit sportif"
28,Plan B,,
29,Pisse-Minute,,
30,Arm & Hammer,,
31,Bazooka,,
32,The Astronauts,,"esprit sportif"
33,Pirhanas,,
34,Jackalopes,,
35,4-da-win,,"esprit sportif"
36,Bolt,,
37,Battleship,,
38,Hurakan,,
39,hamer time,,
40,Gusto,,
41,Les Sony Discmans,,
42,Frisbeenomiale,,
43,Sasquatch!,,
44,La Tourista,,
45,Lebœuf Saloon,,
46,Qrinqué,,
47,Swaggerwalk,,
48,Nordisques,,
49,Apocalypse,,
50,Les Patriotes,,
51,Thunder,,
52,DiskTrackFUL,,
53,Mohicans,,
54,Quidam,,
55,Les Moldus,,
56,Bangarang,,
