Pos,Pts,Team name,Best,2nd best,Provenance
1,1955,Trillium Carnage,1 (1000) Coup de Foudre,2 (955) Bye Bye,
2,1916,Louis Luncheonette,1 (1000) Bye Bye,3 (916) Movember,
3,1916,Les Outs,1 (1000) Movember,3 (916) Bye Bye,
4,1803,Turbo Fluo,2 (955) Coup de Foudre,5 (848) Bye Bye,
5,1704,La Vallée des Licornes,3 (916) Coup de Foudre,7 (788) Movember,
6,1698,Sugar Mommies,4 (881) Movember,6 (817) Bye Bye,
7,1696,Rebellion,5 (848) Movember,5 (848) Coup de Foudre,
8,1642,Squeezy Lemon,4 (881) Bye Bye,8 (761) Movember,
9,1523,UltiBattleDisc l'équipe d'Ultimate Récréatif ,7 (788) Bye Bye,9 (735) Movember,
10,1474,KGB,7 (788) Coup de Foudre,11 (686) Bye Bye,
11,1332,Les joyeux compagnons,1 (666) La Flotte,1 (666) Oktober Disk,
12,1309,9h50,10 (710) Bye Bye,15 (599) Movember,
13,1300,Quality Control,11 (686) Movember,2 (614) Bonne annee,
14,1261,Douze Singes,13 (641) Coup de Foudre,14 (620) Bye Bye,
15,1210,Light Weight,11 (686) Coup de Foudre,19 (524) Bye Bye,
16,1205,Piggy Pogo Hippo,12 (663) Bye Bye,18 (542) Coup de Foudre,
17,1200,Disklock,14 (620) Coup de Foudre,16 (580) Movember,
18,1187,Marianne,12 (663) Coup de Foudre,19 (524) Movember,
19,1131,James Street Bulldogs,3 (570) Bonne annee,17 (561) Coup de Foudre,
20,1104,L'équipe Pick-Up,2 (614) La Flotte,21 (490) Coup de Foudre,
21,1103,Les Grosses,17 (561) Movember,18 (542) Bye Bye,
22,1019,Le Qg,13 (641) Movember,9 (378) Bonne annee,
23,1014,Commando,19 (524) Coup de Foudre,21 (490) Movember,
24,1005,NinjaX,2 (1005) Movember,2 (0) Mars Attaque,
25,1004,Connect4,4 (530) Oktober Disk,22 (474) Bye Bye,
26,970,Plan B,18 (542) Movember,25 (428) Bye Bye,
27,964,Evolve,21 (490) Bye Bye,22 (474) Coup de Foudre,
28,938,Carl Carmoni,5 (495) Oktober Disk,24 (443) Coup de Foudre,
29,932,Les Chiefs,22 (474) Movember,23 (458) Coup de Foudre,
30,913,Squall,4 (530) La Flotte,1 (383) CEQU4 Carleton,
31,907,Quarks,23 (458) Movember,27 (449) Coup de Foudre,
32,886,VTM,23 (458) Bye Bye,25 (428) Coup de Foudre,
33,881,Ninjax,4 (881) Coup de Foudre,,
34,779,Glenncellents,7 (432) La Flotte,31 (347) Movember,
35,766,hamer time,24 (443) Movember,33 (323) Bye Bye,
36,764,Arm & Hammer,8 (404) Oktober Disk,30 (360) Coup de Foudre,
37,761,Le QG,8 (761) Bye Bye,,
38,720,Bolt,30 (360) Movember,30 (360) Bye Bye,
39,717,Hurakan,28 (386) Bye Bye,11 (331) Oktober Disk,
40,713,Weedeaters,9 (378) Oktober Disk,32 (335) Bye Bye,
41,711,Bleu Marin,9 (378) La Flotte,1 (333) CEQU4 Gaspe,
42,710,le Qg,10 (710) Coup de Foudre,,
43,710,CHAINSAW,10 (710) Movember,14 (0) Mars Attaque,
44,683,4-da-win,35 (350) Coup de Foudre,1 (333) Victo Bowl,
