Pos,Pts,Team name,Best,2nd best,Provenance
1,1883,Ninjax,1 (1050) Movember,2 (833) Coup de Foudre,"Trois-Rivières,Montréal,Saguenay"
2,1736,Turbo Fluo,1 (1000) Coup de Foudre,3 (736) Bye Bye,"La Province,Sherbrooke,Montréal,Québec"
3,1736,P'tits Ménés,1 (1000) Bye Bye,3 (736) Coup de Foudre,"Gatineau,Sherbrooke,Montréal,Québec"
4,1403,Padawan,2 (833) Movember,6 (570) Bye Bye,"Trois-Rivières,Sherbrooke,Montréal"
5,1334,Legends,4 (667) Coup de Foudre,4 (667) Movember,Québec
6,1333,Trillium Carnage,2 (833) Bye Bye,1 (500) Bonne annee,"Ontario,Ottawa"
7,1280,Les Outs,4 (667) Bye Bye,5 (613) Movember,Québec
8,1269,Bergers,3 (736) Movember,7 (533) Bye Bye,"Gatineau,Sherbrooke,Montréal,Québec"
9,1042,Chainsaw,6 (570) Coup de Foudre,9 (472) Bye Bye,"Trois-Rivières,Ottawa,Québec"
10,1037,Rookies,5 (613) Coup de Foudre,11 (424) Movember,Québec
11,1002,Sugar Mammies,8 (501) Bye Bye,8 (501) Movember,Montréal
12,948,Mess around,8 (501) Coup de Foudre,10 (447) Movember,Montréal
13,899,Commando,7 (533) Movember,14 (366) Coup de Foudre,Sherbrooke
14,850,Tux,1 (500) Oktober Disk,15 (350) Coup de Foudre,"Trois-Rivières,Québec"
15,827,Caribou,11 (424) Coup de Foudre,12 (403) Movember,Sherbrooke
16,797,International,10 (447) Bye Bye,15 (350) Movember,"Trois-Rivières,Sherbrooke,Montréal"
17,790,KGB,11 (424) Bye Bye,14 (366) Movember,Québec
18,718,Captain Morgan,13 (384) Coup de Foudre,16 (334) Bye Bye,"Trois-Rivières,Rimouski,Montréal,Québec"
19,709,Rejected,12 (403) Bye Bye,18 (306) Movember,Montréal
20,703,Sweet Dreams,17 (369) Bye Bye,16 (334) Movember,Trois-Rivières
21,696,Dynamite,12 (403) Coup de Foudre,19 (293) Movember,"Gatineau,Ottawa"
22,625,Diskover,17 (319) Movember,18 (306) Bye Bye,Trois-Rivières
23,614,Wasabi,16 (334) Coup de Foudre,20 (280) Bye Bye,Montréal
24,611,Voodoo,3 (342) Oktober Disk,21 (269) Coup de Foudre,"Trois-Rivières,Sherbrooke"
